time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
39974,-0.031232,0.885720,0.454328,8.960000,-0.840000,1.120000
40110,-0.033184,0.898896,0.426024,9.170000,-1.050000,1.120000
40235,-0.028792,0.907192,0.406992,17.010000,-0.840000,1.400000
40386,-0.025864,0.925736,0.351360,23.100000,-0.980000,1.680000
40510,-0.023912,0.940376,0.310856,17.500000,-0.980000,1.470000
40636,-0.021960,0.942816,0.291336,19.180000,-0.980000,1.540000
40757,-0.021472,0.958432,0.234240,12.390000,-0.840000,1.400000
40871,-0.022448,0.960384,0.223016,10.780000,-0.840000,1.120000
40994,-0.021472,0.960872,0.215208,11.620000,-0.630000,1.330000
41110,-0.019520,0.967216,0.176168,18.410000,-0.700000,1.540000
41235,-0.017080,0.975024,0.144448,12.670000,-0.910000,1.260000
41380,-0.014640,0.975024,0.112728,11.130000,-0.840000,1.120000
41498,-0.015128,0.978440,0.080520,11.900000,-0.840000,1.190000
41623,-0.013176,0.976976,0.067344,10.360000,-0.770000,1.260000
41763,-0.011712,0.975024,0.062464,0.910000,-0.840000,0.840000
41887,-0.013664,0.976488,0.053192,1.750000,-0.910000,0.840000
42009,-0.010736,0.979904,0.050264,-0.840000,-1.050000,0.700000
42133,-0.014640,0.977952,0.045872,6.650000,-0.770000,1.050000
42266,-0.014640,0.976000,0.036600,8.470000,-0.770000,1.120000
42410,-0.012200,0.977952,0.016104,3.500000,-0.840000,0.980000
42551,-0.016104,0.976000,0.021472,-0.350000,-0.840000,0.700000
42687,-0.011224,0.978440,0.018056,1.470000,-0.840000,0.840000
42811,-0.011712,0.980392,0.017080,2.520000,-0.840000,0.910000
42930,-0.012200,0.976488,0.013664,0.000000,-0.770000,0.700000
43042,-0.011224,0.977464,0.012200,3.010000,-0.910000,0.770000
43158,-0.009760,0.980392,0.011224,0.630000,-0.910000,0.840000
43280,-0.011224,0.979904,0.007320,0.980000,-0.770000,0.770000
43429,-0.011712,0.979904,0.004880,-0.140000,-0.910000,0.770000
43548,-0.011224,0.979904,0.006344,-2.450000,-0.910000,0.560000
43660,-0.012200,0.976488,0.012688,-2.800000,-0.840000,0.770000
43776,-0.010248,0.980880,0.023912,-6.790000,-0.840000,0.490000
43896,-0.015128,0.975512,0.069296,-21.280001,-0.700000,-0.140000
44006,-0.014640,0.979904,0.097112,-10.570000,-0.910000,0.350000
44127,-0.017568,0.969656,0.145912,-30.520000,-0.490000,-0.490000
44235,-0.018544,0.967704,0.183000,-13.300000,-0.490000,0.280000
44383,-0.020496,0.953064,0.240584,-19.459999,-0.420000,-0.070000
